Time,Message
2022-03-29T19:31:42.943+00:00,LSST-M2 system starting up.
2022-03-29T19:31:42.949+00:00,TODO: Model requires additional initialization.
2022-03-29T19:31:42.954+00:00,System state changes to OfflineState
2022-03-29T19:31:42.959+00:00,System substate changes to PublishOnlySubstate
2022-03-29T19:31:42.972+00:00,Loading the application's error code file from /rubin/mtm2/config/errorCodeM2.tsv
2022-03-29T19:31:42.977+00:00,Application's error code file successfully loaded.
2022-03-29T19:31:42.983+00:00,Loading the cell mapping  file from /rubin/mtm2/config/system/cell/cell-actuator_mapping_file.xml
2022-03-29T19:31:42.990+00:00,Cell mapping file successfully loaded.
2022-03-29T19:31:42.995+00:00,Loading the actuator configuration files from the path /rubin/mtm2/config/system/cell/actuator_configuration_data
2022-03-29T19:31:43.018+00:00,All actuator configuration files have been loaded.
2022-03-29T19:31:43.024+00:00,Loading the home position from file named /rubin/mtm2/config/home_position.xml
2022-03-29T19:31:43.029+00:00,Home position file successfully loaded.
2022-03-29T19:31:43.042+00:00,Fault manager process launched and should be running.
2022-03-29T19:31:43.049+00:00,Network interface process launched and should be running.
2022-03-29T19:31:43.056+00:00,System monitor process launched and should be running.
2022-03-29T19:31:43.061+00:00,TCP/IP interface is starting up. This may take a while.
2022-03-29T19:31:43.068+00:00,The TCP/IP interface process has been launched and should be running.
2022-03-29T19:31:48.075+00:00,The configuration file named /rubin/mtm2/config/sysconfig/Configurable_File_Description_20180831T092556_surrogate_handling.csv has been successfully loaded.
2022-03-29T19:31:48.115+00:00,A configuration file has been successfully loaded.
2022-03-29T19:31:48.120+00:00,System state changes to OfflineState
2022-03-29T19:31:48.125+00:00,System substate changes to AvailableStateSubstate
2022-03-29T19:31:48.131+00:00,Established a network connection with the cRIO cell controller.
2022-03-29T19:31:48.338+00:00,Successfully loaded all of the data associated with the configuration file named /rubin/mtm2/config/sysconfig/Configurable_File_Description_20180831T092556_surrogate_handling.csv
2022-03-29T19:56:22.060+00:00,TCP/IP interface: Clients are on
2022-03-29T19:56:22.098+00:00,System state changes to StandbyState
2022-03-29T19:56:24.177+00:00,Configuration data successfully downloaded to the cRIO cell controller.
2022-03-29T19:56:24.184+00:00,The configuration data has been successfully dispersed throughout the M2 controller.
2022-03-29T19:56:25.606+00:00,(ERROR) Actuator ILC (ModBUS Addr = 1)  (err. code = 505050; err. src = ADR)
2022-03-29T19:56:25.613+00:00,(ERROR) Actuator ILC (ModBUS Addr = 2)  (err. code = 505050; err. src = ADR)
2022-03-29T19:56:25.618+00:00,(ERROR) Actuator ILC (ModBUS Addr = 3)  (err. code = 505050; err. src = ADR)
2022-03-29T19:56:25.623+00:00,(ERROR) Actuator ILC (ModBUS Addr = 4)  (err. code = 505050; err. src = ADR)
2022-03-29T19:56:25.628+00:00,(ERROR) Actuator ILC (ModBUS Addr = 5)  (err. code = 505050; err. src = ADR)
2022-03-29T19:56:25.634+00:00,(ERROR) Actuator ILC (ModBUS Addr = 6)  (err. code = 505050; err. src = ADR)
2022-03-29T19:56:25.638+00:00,(ERROR) Actuator ILC (ModBUS Addr = 7)  (err. code = 505050; err. src = ADR)
2022-03-29T19:56:25.644+00:00,(ERROR) Actuator ILC (ModBUS Addr = 8)  (err. code = 505050; err. src = ADR)
2022-03-29T19:56:25.664+00:00,(ERROR) Actuator ILC (ModBUS Addr = 9)  (err. code = 505050; err. src = ADR)
2022-03-29T19:56:28.514+00:00,Number of ILCs initialized: Axial: 72/72, Tangent: 6/6, Sensor: 6/6, # passes = 2.
2022-03-29T19:56:28.521+00:00,Process completed in 2.93 secs.
2022-03-29T19:56:28.660+00:00,(INFO) Stale data warning
2022-03-29T19:56:28.666+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:28.674+00:00,System state changes to DisabledState
2022-03-29T19:56:28.721+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:28.727+00:00,(INFO) Stale data fault
2022-03-29T19:56:29.949+00:00,(INFO) Interlock fault
2022-03-29T19:56:29.963+00:00,System state changes to FaultState
2022-03-29T19:56:29.975+00:00,(INFO CLEARED) Stale data fault
2022-03-29T19:56:29.980+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:31.269+00:00,(INFO) Stale data warning
2022-03-29T19:56:31.276+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:31.364+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:31.371+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:31.378+00:00,(INFO) Stale data warning
2022-03-29T19:56:31.383+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:31.459+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:31.466+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:31.959+00:00,(INFO) Stale data warning
2022-03-29T19:56:31.966+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:31.982+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:31.987+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:32.970+00:00,(INFO) Stale data warning
2022-03-29T19:56:32.977+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:33.064+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:33.070+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:33.520+00:00,(INFO) Stale data warning
2022-03-29T19:56:33.527+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:33.573+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:33.578+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:34.572+00:00,(INFO) Stale data warning
2022-03-29T19:56:34.579+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:34.661+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:34.668+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:35.272+00:00,(INFO) Stale data warning
2022-03-29T19:56:35.279+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:35.323+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:35.328+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:35.658+00:00,(INFO) Stale data warning
2022-03-29T19:56:35.665+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:35.673+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:35.678+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:36.273+00:00,(INFO) Stale data warning
2022-03-29T19:56:36.279+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:36.323+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:36.329+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:37.258+00:00,(INFO) Stale data warning
2022-03-29T19:56:37.265+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:37.274+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:37.279+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:37.769+00:00,(INFO) Stale data warning
2022-03-29T19:56:37.776+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:37.861+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:37.868+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:38.859+00:00,(INFO) Stale data warning
2022-03-29T19:56:38.866+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:38.874+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:38.879+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:39.271+00:00,(INFO) Stale data warning
2022-03-29T19:56:39.278+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:39.320+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:39.325+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:39.371+00:00,(INFO) Stale data warning
2022-03-29T19:56:39.376+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:39.460+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:39.467+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:40.458+00:00,(INFO) Stale data warning
2022-03-29T19:56:40.465+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:40.473+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:40.478+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:42.059+00:00,(INFO) Stale data warning
2022-03-29T19:56:42.066+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:42.076+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:42.081+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:43.071+00:00,(INFO) Stale data warning
2022-03-29T19:56:43.078+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:43.123+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:43.128+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:44.669+00:00,(INFO) Stale data warning
2022-03-29T19:56:44.676+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:44.759+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:44.772+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:44.975+00:00,(INFO CLEARED) Interlock fault
2022-03-29T19:56:44.983+00:00,System state changes to OfflineState
2022-03-29T19:56:44.987+00:00,System substate changes to PublishOnlySubstate
2022-03-29T19:56:44.993+00:00,System state changes to OfflineState
2022-03-29T19:56:44.998+00:00,System substate changes to AvailableStateSubstate
2022-03-29T19:56:46.308+00:00,(INFO) Stale data warning
2022-03-29T19:56:46.315+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:46.362+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:46.367+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:47.359+00:00,(INFO) Stale data warning
2022-03-29T19:56:47.366+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:47.374+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:47.379+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:47.870+00:00,(INFO) Stale data warning
2022-03-29T19:56:47.877+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:47.961+00:00,(INFO CLEARED) Stale data warning
2022-03-29T19:56:47.968+00:00,(WARNING CLEARED) (E6052) Monitoring ILC read error
2022-03-29T19:56:48.959+00:00,(INFO) Stale data warning
2022-03-29T19:56:48.966+00:00,(WARNING) (E6052) Monitoring ILC read error
2022-03-29T19:56:48.976+00:00,(INFO CLEARED) Stale data warning
